powerpoint_rubrik;matchad_expo_id;matchad_titel;praktisk_information;matchstatus;kommentar
LEGO® - bygg och programmera robotar;123;LEGO® - bygg och programmera robotar;Skolprogrammet äger rum på Navets entréplan. | Under inledningen sitter barnen i en gradäng vid en liten scen, därefter sker bygge och programmering i ett separat rum. | Eleverna jobbar två och två. Vid udda antal elever föreslår vi att ett barn jobbar själv med en vuxen. Det går att jobba tre också, men med risk för att en blir utanför.;s?ker;
Kemiutmaningen;12;Kemiutmaningen;Skolprogrammet äger rum i en kemisal på entréplan. | Laborationerna genomförs vid ståbord. Ett höj- och sänkbart bord finns. | Vi hanterar vardagskemikalier som brustabletter med C-vitamin, citronsyra och bikarbonat, samt karamellfärg. | I vår inledning använder vi äpple och potatis. | Vi jobbar i grupper. Vi gör gruppindelningen om du som lärare inte önskar specifika grupper. | Vi siktar på 3-4 elever i varje grupp, vi gör max 6 grupper.;s?ker;
Nyfiken på rymden;20;Nyfiken på rymden;Besöket är i vår utställning Astronoma som är belägen på våning 2 – det finns hiss. | Astronoma är en utställningsmiljö som kan upplevas som något mörkare än vanligt. | Under skolbesöket kommer vi att spränga en vätgasballong, det innebär att det blir en hög smäll som kan upplevas som obehaglig. | Det förekommer ballonger i introduktionen.;s?ker;
Ljus;131;Ljus - Navet 30 år;Besöket är i vår utställning Astronoma som är belägen på våning 2 – det finns hiss. | Astronoma är en utställningsmiljö som kan upplevas som något mörkare än vanligt. | Under besöket kommer eleverna jobba i par.;m?jlig;"GRANSKA: PowerPoint-rubriken ?r f?rkortad eller avviker fr?n officiell titel; matchad titel: ""Ljus - Navet 30 år""."
Hjälp al- Khwarizmi lösa problem;27;Hjälp Al-Khwarizmi att lösa problem;Besöket är i vår utställning Matemagica som är belägen på våning 2, hiss finns. | Eleverna kommer att få lösa problem i par. Efter att de löst ett problem får de en ny klasskompis att lösa problem med. Paren byts ut under tiden. Vi på Navet fixar detta.;s?ker;
Elektriska kretsar och magnetiska fält;22;Elektriska kretsar och magnetiska fält;Skolprogrammet genomförs i Fenomena och ute i utställningen Mechanica. Dessa ligger på våning 2. (Hiss finns.) | Fenoma är ett helt svartmålat rum med gradäng. I inledningen av skolprogrammet kommer vi att släcka ned helt till totalt mörker under några få minuter. | Det förekommer blixtar (bandgenerator). | Eleverna jobbar i grupper om två, alternativt tre.;s?ker;
Kolla jag kan programmera!;79;MOBILT Kolla, jag kan programmera!;Vi önskar få tillgång till skärm/projektor i klassrummet, och gärna en | whiteboard | . | Vi önskar få vara i samma lokal hos er under hela besök, alternativt att det finns tillräckligt med tid mellan grupperna för att göra ett lokalbyte. | Eleverna kommer att få låna varsin | Micro:bit | med tillbehör. | Eleverna programmerar på sina egna datorer – kontrollerna gärna att de är laddade. | Vi använder sidan | makecode.microbit.org | .;s?ker;
Ekens escape box – jakten på mångfald;116;MOBILT Ekens escape box - jakten på mångfald;Vi önskar få tillgång till skärm/projektor i klassrummet, och gärna en | whiteboard | . | Vi önskar få vara i samma lokal hos er under hela besöket.;s?ker;
Utblick i universum;6;Utblick i universum;Besöket är i vår utställning Astronoma som är belägen på våning 2 – det finns hiss. | Astronoma är en utställningsmiljö som kan upplevas som något mörkare än vanligt. | Under skolbesöket kommer vi att spränga en vätgasballong, det innebär att det blir en hög smäll som kan upplevas som obehaglig. | Det förekommer ballonger i introduktionen.;s?ker;
Krimlabb;134;Krimlabb Navet 30 år;Inför besöket får eleverna ta del av ett bildspel som sätter dem in i bakgrunden till fallet med Direktör S. Vindel. | Väl på plats i krimlabbet delas eleverna in i sex grupper. Varje grupp undersöker olika delar av den eventuella brottsplatsen och samlar ledtrådar som kan hjälpa dem att lösa fallet. | För att komma igång så smidigt som möjligt är det bra om du har delat in klassen i sex grupper som fungerar bra ihop. | Skolprogrammet äger rum i en kemisal på entréplan. | I labbet arbetar eleverna med labbrockar och plasthandskar. De utför olika kemiska analyser utifrån vilket bevismaterial de undersöker. Laborationerna genomförs vid ståbord. Ett höj- och sänkbart bord finns. | I slutet av programmet summerar vi vad varje grupp har kommit fram till. Därefter får eleverna några minuter i sina grupper för att diskutera vem de tror är skyldig och hur brottet kan ha gått till. Programmet avslutas med att ett brev med lösningen på fallet läses upp. | Som förarbete ska eleverna titta på bildspelet om direktör S. Vindel. Se nästa sida.;m?jlig;"GRANSKA: PowerPoint-rubriken ?r f?rkortad eller avviker fr?n officiell titel; matchad titel: ""Krimlabb Navet 30 år""."
Upptäck matematiks magi;32;Upptäck matematikens magi;Besöket är i vår utställning | Matemagica | som är belägen på våning 2, hiss finns. | Eleverna kommer få göra olika övningar i mindre grupper eller par. Vi delar in eleverna i par, läraren hjälper till att göra mindre grupper på plats.;m?jlig;"GRANSKA: PowerPoint-rubriken ?r f?rkortad eller avviker fr?n officiell titel; matchad titel: ""Upptäck matematikens magi""."
De globala målen - vägen till en hållbar framtid;5;De Globala målen - vägen till en hållbar framtid;Besöket är i vår utställning | Ecologica | som är belägen på entréplan. | Eleverna kommer få göra olika övningar i mindre grupper eller par.;s?ker;
Designa med laser!;118;MOBILT Designa med laser!;Vi önskar få tillgång till skärm/projektor i klassrummet, och gärna en whiteboard. | Vi önskar få vara i samma lokal hos er under hela besöket då det tar tid att flytta laserskärarna. | Laserskärarna ger ifrån sig rök när de skär genom materialet. Om det finns tillgång till luftsug som till exempel i en kemisal så är det att föredra, annars behöver vi ha möjlighet att öppna ett fönster för att avleda röken. | Eleverna designar på sina egna datorer – kontrollerna gärna att de är laddade. | Vi använder ett webbaserat ritverktyg från fluxlasers som också tillverkar laserskärarna vi har med.;s?ker;
Varför piper det?;124;MOBILT Varför piper det?;Vi önskar få tillgång till skärm/projektor i klassrummet, och gärna en | whiteboard | . | Vi önskar få vara i samma lokal hos er under hela besök, alternativt att det finns tillräckligt med tid mellan grupperna för att göra ett lokalbyte. | Vi tar med | Micro:bits | som eleverna arbetar med. | Eleverna programmerar på sina egna datorer – kontrollerna gärna att de är laddade. | Vi använder sidan | makecode.microbit.org | .;s?ker;
