expo_id,titel,malgrupp,max_deltagare,programlangd_min,total_besokstid_min,kommentar
32,Upptäck matematikens magi,7-9 + gy,30,90,90,"Excel anger antal elever: ""5-30 hård gräns""."
33,Kistans mysterium - Digitalt,4-6,,75,75,GRANSKA: Maxantal saknas eller kan inte avg?ras s?kert i Excel.
54,Det brinner!,5-7,24,90,90,"Excel anger antal elever: ""5-24 hård gräns"". Excel, ?vrigt: OBS bara för Borås |  | Kommunicera särskilt kring detta"
79,"MOBILT Kolla, jag kan programmera!",4-6,100,60,60,
92,Fru Eks återvinningsäventyr,"från 4 år, Anp gr / anp gy",20,60,60,"Excel, ?vrigt: Addera memory samt sopbilsfilm"
93,Tundas fysikcirkus,"från 3 år, Anp gr / anp gy",16,60,60,
102,Biologisk mångfald och skogsbruk,Gy,100,90,90,
110,DIGITALT Bertas matematikkalas,"från 3 år, Anp gr / anp gy",,30,30,"GRANSKA: Maxantal saknas eller kan inte avg?ras s?kert i Excel. Excel, ?vrigt: NYTT - 2 datum |  | Resurserna bokas upp längre tid |  | Nina kan inte köra för hon är med i filmen"
116,MOBILT Ekens escape box - jakten på mångfald,4-7,100,60,60,
118,MOBILT Designa med laser!,åk 7-9,100,,,"GRANSKA: Oklar programtid i Excel: ""gärna 90 min efter övernskommelse""."
121,MOBILT När livet formas av miljön - djurs och växters anpassningar,Åk 2-6,100,60,60,"GRANSKA: Excel anger ""ca 60""; tiden ?r ungef?rlig."
122,Bygg och programmera med LEGO® ,Åk 1-3,30,75,90,"Excel anger ""90 (75)""; kolumnen ?vrigt anger 75 minuter programtid och d?refter en kvart i annan avdelning. Excel anger antal elever: ""5-30 hård gräns"". Excel, ?vrigt: Programmet är 75 minuter och vi erbjuder sedan en kvart i en annan avdelning |  | Kolla när det krockar inför lov"
123,LEGO® - bygg och programmera robotar,Åk 4-6,25,90,90,"Excel, ?vrigt: Kolla när det krockar inför lov"
124,MOBILT Varför piper det?,7-9,100,60,60,
130,MOBILT Stjärntältet NAVET 30 år,F-3,100,40,40,"Excel, ?vrigt: OBS krav på lokaler"
131,Ljus - Navet 30 år,4-6,30,90,90,"Excel anger antal elever: ""5-30 hård gräns""."
132,Konstruera och programmera tekniska lösningar med LEGO®,åk 7-9,20,75,75,"Excel anger antal elever: ""5-20 hård gräns"". Excel, ?vrigt: Låter det vara kvar men under hösten undersöker vi om vi ska skruva på innehållet. |  | Kolla när det krockar inför lov"
134,Krimlabb Navet 30 år,Åk 9 + gy,24,60,60,"Excel anger antal elever: ""5-24 hård gräns""."
138,På rymdäventyr med Tant Sol,de som ska börja F-klass,20,60,60,
140,MOBILT Utomhusprogram - Djur och växter i skogen,F-6,100,60,60,"GRANSKA: Excel anger ""ca 60""; tiden ?r ungef?rlig. Excel, ?vrigt: NYTT PROGRAM! - Erik och Jossan vet mer"
